Model,PPL(Wikitext2),PPL(ptb),PPL(c4),Alpha,Recover_sparsity
llama-2-7b-hf,5.4726338386535645,20.849058151245117,6.9742751121521,0.0,0.0
llama-2-13b-hf,4.886166572570801,28.890718460083008,6.470444202423096,0.0,0.0
llama-2-70b-hf,3.320882558822632,14.448628425598145,5.524997711181641,0.0,0.0
