################## 2:4 wanda ###################################
Model,PPL(Wikitext2),PPL(ptb),PPL(c4),Alpha,Recover_sparsity
llama-2-7b-hf,11.974444389343262,73.89275360107422,14.21867561340332,0.0,0.0
llama-2-13b-hf,8.867714881896973,87.8058090209961,11.281760215759277,0.0,0.0
llama-2-70b-hf,5.470315933227539,19.742633819580078,7.503183841705322,0.0,0.0

################## unstructured 50% wanda ###################################
Model,PPL(Wikitext2),PPL(ptb),PPL(c4),Alpha,Recover_sparsity
llama-2-7b-hf,6.888329982757568,28.32514762878418,8.575772285461426,0.0,0.0
llama-2-13b-hf,5.934200763702393,39.27544403076172,7.7462053298950195,0.0,0.0
llama-2-70b-hf,4.210354804992676,15.823237419128418,6.1977620124816895,0.0,0.0
